Date,Open,High,Low,Close,Volume
9/12/2017,69.199997,70.279999,68.68,70.040001,755121
9/13/2017,69.970001,70.860001,69.800003,70.5,685516
9/14/2017,70.470001,70.769997,70.029999,70.489998,519121
9/15/2017,70.330002,70.330002,69.379997,69.739998,852674
9/18/2017,70,70.160004,69.510002,69.629997,458229
9/19/2017,69.629997,69.910004,69.580002,69.860001,467504
9/20/2017,69.730003,70.470001,69.730003,70.239998,771463
9/21/2017,70.419998,71.470001,70.419998,70.980003,850171
9/22/2017,70.739998,71.459999,70.010002,70.120003,708332
9/25/2017,69.989998,70.279999,69.690002,69.970001,370602
9/26/2017,70,70.690002,69.989998,70.279999,428525
9/27/2017,70.5,72.099998,70.43,71.510002,909719
9/28/2017,71.839996,72.5,71.07,71.360001,750631
9/29/2017,71.160004,71.919998,70.860001,71.699997,641392
10/2/2017,71.480003,71.949997,71.379997,71.790001,529350
10/3/2017,71.989998,72.260002,71.949997,72.129997,266885
10/4/2017,72.300003,72.370003,71.580002,71.82,815672
10/5/2017,71.720001,72.059998,71.360001,71.790001,661166
10/6/2017,71.690002,72.099998,71.519997,71.790001,664758
10/9/2017,71.709999,71.839996,70.989998,71.150002,585308
10/10/2017,71.220001,72.410004,71.209999,71.830002,870755
10/11/2017,71.989998,71.989998,71.010002,71.82,730573
10/12/2017,71.980003,72.169998,71.610001,72.110001,481216
10/13/2017,72,72.580002,71.360001,71.629997,681917
10/16/2017,71.5,71.870003,70.970001,71.110001,607312
10/17/2017,71.419998,71.769997,70.949997,71.269997,542007
10/18/2017,71.489998,72.309998,71.18,72,528264
10/19/2017,71.900002,72.269997,71.129997,71.870003,474533
10/20/2017,72,72.470001,71.910004,72.239998,737747
10/23/2017,72.089996,72.25,71.720001,72.080002,415348
10/24/2017,72,72.739998,72,72.480003,560406
10/25/2017,72.480003,72.849998,71.489998,71.800003,727776
10/26/2017,71.25,72.470001,71.169998,72.209999,757663
10/27/2017,72.620003,72.970001,71.57,72.099998,786114
10/30/2017,72.279999,72.349998,71.650002,71.879997,520167
10/31/2017,71.849998,71.879997,71.25,71.309998,597203
11/1/2017,71.699997,72.589996,71.459999,71.889999,690588
11/2/2017,72.029999,72.300003,70.82,71.800003,748198
11/3/2017,71.809998,71.889999,70.769997,71.169998,588292
11/6/2017,70.980003,71.199997,70.779999,70.849998,534827
11/7/2017,71.239998,71.589996,70.709999,71.25,708946
11/8/2017,71.199997,71.760002,70.959999,71.650002,871767
11/9/2017,71.720001,72.029999,70.959999,71.129997,754107
11/10/2017,71.050003,71.879997,71.050003,71.540001,610825
11/13/2017,71.639999,71.75,71.080002,71.510002,670179
11/14/2017,71.690002,72.089996,71.220001,71.239998,860481
11/15/2017,69.790001,70.150002,68.75,69.900002,1207878
11/16/2017,70.5,70.5,68.120003,69.639999,1064491
11/17/2017,69.150002,69.349998,67.239998,67.379997,1482100
11/20/2017,67.059998,67.440002,66.75,66.959999,1045550
11/21/2017,67.040001,68.43,66.68,67.709999,1054373
11/22/2017,67.769997,68.629997,67.75,67.940002,576003
11/23/2017,67.849998,68.290001,67.519997,68,442245
11/24/2017,67.989998,69.120003,67.839996,69.019997,816750
11/27/2017,69,69.540001,68.540001,68.75,632977
11/28/2017,68.790001,69.300003,68.400002,68.559998,629894
11/29/2017,69.25,69.290001,68.760002,68.800003,961204
11/30/2017,68.93,69.190002,68.43,68.730003,1196923
12/1/2017,68.699997,69.059998,68.07,68.389999,734282
12/4/2017,69.230003,69.589996,68.870003,69.540001,1128217
12/5/2017,69.75,70.199997,69.18,69.279999,867703
12/6/2017,68.690002,68.980003,68.269997,68.43,880395
12/7/2017,68.620003,70.089996,68.559998,70.029999,1125515
12/8/2017,70.800003,72.5,70.529999,72,1430915
12/11/2017,72.449997,72.489998,71.639999,71.739998,665156
12/12/2017,71.699997,72.480003,71.650002,72.239998,832383
12/13/2017,71.800003,72.389999,71.529999,71.550003,759032
12/14/2017,71.169998,72.260002,70.730003,71.480003,570259
12/15/2017,71.519997,71.529999,70.82,70.93,1104621
12/18/2017,71.43,71.620003,70.910004,71.209999,698947
12/19/2017,71.059998,72.089996,71.059998,71.849998,570603
12/20/2017,71.970001,71.980003,71.300003,71.489998,560264
12/21/2017,71.559998,71.849998,71.099998,71.459999,726598
12/22/2017,71.400002,71.790001,70.959999,71.209999,460168
12/27/2017,71.25,71.489998,70.949997,71.010002,260538
12/28/2017,71.150002,71.379997,70.949997,71.089996,280504
12/29/2017,71.269997,71.43,70.93,71.110001,321521
